"","a","p","y1","y2","y3","y4"
"1",1,1,0.383950194525241,-0.522431071625253,0.724903483129693,-0.70882928903244
"2",2,1,-1.65367148021166,0.412818448383931,1.15201454108864,2.75201279875303
"3",3,1,0.593572985847363,-1.82861723178729,-0.344355968291698,0.78568667408457
"4",4,1,1.30470259405837,0.075886394242946,-1.60752953415239,1.17521890604718
"5",5,1,-0.542654564318533,-1.08000686181048,0.53312686020103,1.80817127080776
"6",6,1,1.2401041361274,-1.12669359896188,-1.23543473220004,1.89294635713338
"7",7,1,-2.89374362200245,-1.83538061909995,-0.429072400631897,1.88065052582843
"8",8,1,0.589680750238308,-2.10353885810312,-1.24730827871577,3.54591590864813
"9",9,1,-0.24085402316326,-1.5662589530188,-2.19233758155207,3.04474346878926
"10",10,1,-1.95751258469627,-3.07866000170613,-2.20875154378587,1.51213236083007
"11",11,1,-1.44224869631177,-3.22693739709869,-1.23106953126413,4.00413068851802
"12",12,1,0.277667606573262,-4.4851228273579,-2.65288378418688,1.78982641851098
"13",13,1,-3.40484094041487,-3.27157111380277,-1.64740614447457,1.67850429101758
"14",14,1,-3.85297515096406,-2.44575317067346,-2.69808492444698,2.72803547887973
"15",15,1,-3.77881243060838,-6.16342677466614,-4.2265209365408,4.04717205413896
"16",16,1,-2.18777278327762,-6.46400098072921,-3.32149546860573,0.828808176255123
"17",17,1,-3.9296712574027,-6.67937744035659,-3.56677207064932,2.55686481717215
"18",18,1,-5.08137815412447,-6.89133822634673,-4.79752391376555,2.02691887966685
"19",19,1,-5.38643875935491,-7.40894297945049,-5.17899407891112,1.53737378178298
"20",20,1,-4.64221673805644,-7.96535867570992,-4.10125213984525,2.01857534092606
"21",1,2,2.2176546006998,1.02961247475418,-1.34387210143156,1.97372806293506
"22",2,2,1.47425163122206,-0.856815412352218,-0.478264040872964,-0.566513387813243
"23",3,2,0.920811388089202,-0.153108380793736,1.08816710367306,0.147198636855951
"24",4,2,-0.192261775533093,-0.723928615787515,0.487119147002445,0.304944553006915
"25",5,2,0.537599870246173,-0.794762643809578,0.730729128481558,1.79867216228366
"26",6,2,-0.906898892222191,-1.22366648391462,0.541198690080907,0.527077294607456
"27",7,2,-1.22052208978391,0.282963655045998,0.0501637871818814,2.12714817533835
"28",8,2,-2.65013947988068,-2.42613408141943,0.0242406704082225,1.85657351374507
"29",9,2,-2.4200239518747,-2.20140554827414,-1.4762455715682,2.93733704610208
"30",10,2,-0.256196085698717,-2.68927703415594,-1.25744270745521,1.14473270402163
"31",11,2,-0.999000324023957,-1.23198599747642,0.028106301222117,0.969002400739117
"32",12,2,-2.40399748809781,-3.33053497176771,-1.57180983057967,1.8849491706361
"33",13,2,-1.43168306437052,-4.76540095198869,-1.61509098364098,1.78918247313779
"34",14,2,-3.04619337388049,-4.89049615233638,-1.15928194947107,1.81962097336995
"35",15,2,-2.51109024995667,-4.26128622839291,-3.14148362542463,3.14986904417416
"36",16,2,-3.57513872522223,-5.31392903980273,-3.39280027238871,1.22270040711364
"37",17,2,-3.20949130729082,-5.5170494586103,-3.35198350547168,1.35351410088482
"38",18,2,-5.17521067389,-6.04397573357908,-2.80974160093856,2.86751180537983
"39",19,2,-4.02501505992545,-7.34894486114614,-4.93666997227535,0.776921503776695
"40",20,2,-5.44887139756519,-6.27638085233191,-4.29753688876383,2.52595514887846
"41",1,3,1.93811972102459,0.574632205471422,0.45080070229106,-2.79638876624579
"42",2,3,3.51717566757716,1.20832620945967,-1.43605951156358,0.480277451878901
"43",3,3,0.275085566930046,0.455199205967489,-0.670042883791495,-1.05250047412773
"44",4,3,-0.32400401980251,-0.870558212748134,-0.314307070170476,1.63102795260192
"45",5,3,1.37882589024803,0.700641899215258,1.11931012836526,1.08400300613806
"46",6,3,-0.229384209599515,-0.0527484543536124,-0.514842393418387,0.364801108822769
"47",7,3,-1.40304328888517,-2.71049772231971,-1.39116713932775,1.39373915015056
"48",8,3,-0.755063276656378,-0.666595629666979,0.0108731578246131,0.631356291801479
"49",9,3,0.381787943943029,-2.780558378619,0.0708144529532856,1.65796794432148
"50",10,3,-0.970544294622686,-2.39368803990461,-2.11504400074744,2.4576082226721
"51",11,3,-0.97248948213847,-5.33932331572228,0.188293902246568,3.65687662155542
"52",12,3,-1.32807482226893,-3.24688214915401,-1.58261715939264,1.87906347559253
"53",13,3,-2.55979769296258,-2.7485541235261,-1.29225218125246,3.31779049296902
"54",14,3,-1.04280460187108,-5.07088938397278,-0.674906355116078,1.87612256175233
"55",15,3,-1.11199031249812,-2.75842664316202,-0.696291901350267,1.88238403142241
"56",16,3,-3.09726249480654,-4.32144410706771,-2.60822139046213,3.08713980112934
"57",17,3,-3.45818973065887,-3.86500053481727,-4.4332924061074,1.79151947236304
"58",18,3,-3.49101053961223,-6.31141435130698,-3.41273792212627,1.42474074140204
"59",19,3,-3.37615395426704,-5.40455895251959,-4.68601595551573,2.63583925481154
"60",20,3,-3.61020626783655,-5.38247664087933,-2.50835149753137,2.25925524264773
"61",1,4,-0.164712701408377,0.808944039806955,1.91832967793907,-1.32009522821117
"62",2,4,1.32828076897958,-0.149857595675452,2.26628988158334,-0.944159617497741
"63",3,4,2.0339350378719,-0.250177981990969,0.397414702563469,3.14129479234414
"64",4,4,3.27901023836124,0.265240599835298,1.40126073833665,-1.37359540426616
"65",5,4,0.335398093639081,0.0307491199282213,0.0553697633164892,0.0916925821321635
"66",6,4,-0.583111981024241,-0.226574059996374,1.45257898109862,2.14671604337951
"67",7,4,1.62173845232102,-0.924071020996093,-1.21908501687033,3.43140915672223
"68",8,4,1.671810400415,-0.276042124902331,-0.0776769471214067,1.38840381244485
"69",9,4,0.0501611657919771,-1.56339716008592,-0.438191436622394,2.2932717746366
"70",10,4,-0.33758376300937,-0.842191624446978,0.29414808371517,1.95249327506404
"71",11,4,-0.399269742285418,-3.56259432809091,-0.453611290755829,1.95689017076597
"72",12,4,-1.29001053663763,-2.24880140935538,-0.948625158630024,2.34150317543175
"73",13,4,-0.542304594812841,-3.74808886612188,-1.84837835433936,2.47054959819193
"74",14,4,-1.83006645985807,-3.75799825381843,-1.41136561962491,2.64134440931867
"75",15,4,-2.88122928547514,-3.16454042748599,-1.59192139297774,3.1097105352491
"76",16,4,-3.03149201011948,-3.74449176195523,-0.343158227922767,4.13043190542722
"77",17,4,-2.17103745865297,-2.00250780518035,-2.45950464332406,2.70174175498023
"78",18,4,-1.28858842467447,-6.34533838279021,-5.521092492945,4.19721988338166
"79",19,4,-2.90871680366244,-5.87470225452858,-4.43346670388461,2.261571991386
"80",20,4,-1.7404711377652,-5.79554755784797,-3.2339028318459,1.59066015129472
"81",1,5,2.77420204778099,0.832706917762216,3.2412143589698,-1.13432260006564
"82",2,5,2.00477945109758,2.437844694329,1.52082036691777,1.51165809406949
"83",3,5,2.28479158053874,-0.672658165773935,1.31686177969966,2.82210701653722
"84",4,5,1.09548282688521,0.720389945900708,1.23564643600828,2.04513819310619
"85",5,5,0.636767643225608,0.169166198982985,0.319151504654497,1.53810180470455
"86",6,5,1.27918271139615,1.18814881830707,1.13593215922453,2.93191632888792
"87",7,5,0.66430573547284,-1.19562825663507,0.132033775237037,1.15267282198523
"88",8,5,0.500743897875681,-0.602413965094367,-0.332879315992508,0.509080006515124
"89",9,5,-0.954372912194856,-1.50295153527487,1.0935584454625,2.28861859245884
"90",10,5,0.64551348964877,-1.9513980898433,-1.35606620716127,3.57893218697266
"91",11,5,0.896734302020767,-3.12693075936561,1.29600777149346,2.2777443393601
"92",12,5,-3.60663248888434,-3.16329792383014,-1.51518935974242,2.09303513709683
